route_id,direction,order,stop_name,time_to_next,direction_name
46,1,1,松德站,0,往圓環
46,1,2,捷運象山站,1,往圓環
46,1,3,信義松仁路口（松仁）,1,往圓環
46,1,4,松壽路口,0,往圓環
46,1,5,市政府（松智）,2,往圓環
46,1,6,興雅國中,1,往圓環
46,1,7,信義松仁路口（松仁）,2,往圓環
46,1,8,捷運象山站,1,往圓環
46,1,9,國稅局宿舍,2,往圓環
46,1,10,松山商職（信義）,1,往圓環
46,1,11,松山商職（福德）,1,往圓環
46,1,12,松友新村,1,往圓環
46,1,13,信義行政中心（秦宫）,1,往圓環
46,1,14,大道路,1,往圓環
46,1,15,忠孝大道路口,1,往圓環
46,1,16,春光公園,1,往圓環
46,1,17,永春里（忠孝）,1,往圓環
46,1,18,捷運永春站（松山）,1,往圓環
46,1,19,雙永國小,1,往圓環
46,1,20,永吉松山路口,1,往圓環
46,1,21,國民住宅,1,往圓環
46,1,22,興雅國小,2,往圓環
46,1,23,東興路,2,往圓環
46,1,24,東興路一,1,往圓環
46,1,25,南京公寓（捷運南京三民）,1,往圓環
46,1,26,南京三民路口,2,往圓環
46,1,27,南京寧安街口,2,往圓環
46,1,28,南京敦化路口（小巨蛋）,2,往圓環
46,1,29,捷運南京復興站,2,往圓環
46,1,30,南京龍江路口,1,往圓環
46,1,31,南京建國路口,1,往圓環
46,1,32,捷運松江南京站,2,往圓環
46,1,33,南京吉林路口,1,往圓環
46,1,34,南京林森路口,2,往圓環
46,1,35,捷運中山站（志仁高中）,3,往圓環
46,1,36,後車站,4,往圓環
46,2,37,圓環（重慶）,1,往松德站
46,2,38,圓環（南京）,1,往松德站
46,2,39,捷運中山站（志仁高中）,1,往松德站
46,2,40,南京林森路口,3,往松德站
46,2,41,南京吉林路口,2,往松德站
46,2,42,捷運松江南京站,1,往松德站
46,2,43,南京建國路口,2,往松德站
46,2,44,南京龍江路口,1,往松德站
46,2,45,捷運南京復興站,2,往松德站
46,2,46,南京敦化路口（小巨蛋）,1,往松德站
46,2,47,南京寧安街口,3,往松德站
46,2,48,南京三民路口,2,往松德站
46,2,49,南京公寓（捷運南京三民）,2,往松德站
46,2,50,東興路一,1,往松德站
46,2,51,東興路,2,往松德站
46,2,52,興雅國小,3,往松德站
46,2,53,國民住宅,1,往松德站
46,2,54,永吉松山路口,1,往松德站
46,2,55,雙永國小,1,往松德站
46,2,56,永春里（忠孝）,2,往松德站
46,2,57,春光公園,1,往松德站
46,2,58,忠孝大道路口,1,往松德站
46,2,59,大道路,1,往松德站
46,2,60,信義行政中心（秦宫）,1,往松德站
46,2,61,松友新村,1,往松德站
46,2,62,松山商職（福德）,1,往松德站
46,2,63,國業里 ,1,往松德站
46,2,64,國稅局宿舍,1,往松德站
46,2,65,捷運象山站,2,往松德站
46,2,66,信義松仁路口（松仁）,1,往松德站
46,2,67,興雅國中,1,往松德站
46,2,68,市政府（松智）,1,往松德站
46,2,69,捷運象山站,4,往松德站
46,2,70,松德站,1,往松德站
,,,,,
204,1,1,華中河濱公園,0,往麥帥新城
204,1,2,果菜市場,0,往麥帥新城
204,1,3,萬大國小,2,往麥帥新城
204,1,4,德昌街口,0,往麥帥新城
204,1,5,西藏路口,1,往麥帥新城
204,1,6,西藏路,1,往麥帥新城
204,1,7,南機場公寓,1,往麥帥新城
204,1,8,中華南海路口,1,往麥帥新城
204,1,9,國盛國宅,1,往麥帥新城
204,1,10,三元街口,2,往麥帥新城
204,1,11,植物園,0,往麥帥新城
204,1,12,建國中學,1,往麥帥新城
204,1,13,自來水西分處（寧波）,1,往麥帥新城
204,1,14,南昌路,2,往麥帥新城
204,1,15,南門,1,往麥帥新城
204,1,16,一女中（公園）,1,往麥帥新城
204,1,17,中正紀念堂,1,往麥帥新城
204,1,18,信義杭州路口,1,往麥帥新城
204,1,19,捷運東門站,1,往麥帥新城
204,1,20,信義永康街口（捷運東門站）,1,往麥帥新城
204,1,21,信義新生路口,2,往麥帥新城
204,1,22,信義市場,1,往麥帥新城
204,1,23,延平中學,1,往麥帥新城
204,1,24,空軍總部,1,往麥帥新城
204,1,25,正義郵局,1,往麥帥新城
204,1,26,懷生國中,1,往麥帥新城
204,1,27,頂好市場,1,往麥帥新城
204,1,28,捷運忠孝敦化站,2,往麥帥新城
204,1,29,阿波羅大廈,1,往麥帥新城
204,1,30,交通部觀光署,1,往麥帥新城
204,1,31,捷運國父紀念館站（光復）,1,往麥帥新城
204,1,32,臺北市區監理所（光復）,1,往麥帥新城
204,1,33,榮民服務處,1,往麥帥新城
204,1,34,南京三民路口,1,往麥帥新城
204,1,35,南京公寓（捷運南京三民）,1,往麥帥新城
204,1,36,南松山（南京）,1,往麥帥新城
204,1,37,饒河街觀光夜市（塔悠）,1,往麥帥新城
204,1,38,松山農會,2,往麥帥新城
204,1,39,松山車站（八德）,1,往麥帥新城
204,1,40,玉成里,1,往麥帥新城
204,1,41,週美里一,2,往麥帥新城
204,1,42,舊宗路一段（行善）,1,往麥帥新城
204,1,43,行善路,1,往麥帥新城
204,1,44,新湖民善路口（一）,1,往麥帥新城
204,1,45,新湖一路口,1,往麥帥新城
204,1,46,新湖三路口（台北花市）,0,往麥帥新城
204,1,47,新湖行忠路口,1,往麥帥新城
204,1,48,行愛路,1,往麥帥新城
204,1,49,行愛路77巷口,1,往麥帥新城
204,2,50,行愛路77巷口,10,往東園
204,2,51,行愛路,1,往東園
204,2,52,新湖行忠路口,1,往東園
204,2,53,新湖三路口（台北花市）,1,往東園
204,2,54,新湖一路口,2,往東園
204,2,55,新湖民善路口（一）,1,往東園
204,2,56,行善路,1,往東園
204,2,57,潭美國小（舊宗）,1,往東園
204,2,58,週美里一,2,往東園
204,2,59,玉成里,1,往東園
204,2,60,松山車站（八德）,1,往東園
204,2,61,松山農會,1,往東園
204,2,62,饒河街觀光夜市（塔悠）,1,往東園
